,Iteration,Lake,Variable_calibrated,kz_N0,c_shelter,i_scv,i_sct,swa_b0,swa_b1,I_scDOC,I_scO,I_scChl,k_Chl,k_POP,k_POC,k_DOP,k_DOC,k_pdesorb_a,k_pdesorb_b,RMSE_all,R2_all,RMSE,NSE,RSR,Pbias,R2,SOS,nrmse,M_score,Note,time
0,1,Bromont,2,0.0001,0.1,1.5,2.5,1.0,1.0,5.0,2.0,2.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.571, 7.963, nan]","[0.932, -0.341, nan]","[[4.194, 3.339], [8.978, 5.989], [nan, nan]]","[[0.74, 0.448], [-12.141, -1.133], [nan, nan]]","[[0.51, 0.742], [3.619, 1.457], [nan, nan]]","[[32.973, 6.817], [97.779, 92.383], [nan, nan]]","[[32.973, 0.753], [0.053, 0.033], [nan, nan]]","[[5575.41, 3533.635], [25553.039, 7102.895], [nan, nan]]","[[0.16, 0.228], [0.661, 0.53], [nan, nan]]",2,,0:06:18.644085
1,2,Bromont,2,0.0001,0.1,1.5,2.5,1.0,1.0,0.1,2.0,2.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.571, 5.769, nan]","[0.932, 0.412, nan]","[[4.194, 3.339], [6.881, 4.384], [nan, nan]]","[[0.74, 0.448], [-6.719, -0.33], [nan, nan]]","[[0.51, 0.742], [2.774, 1.151], [nan, nan]]","[[32.973, 6.817], [74.597, 56.083], [nan, nan]]","[[32.973, 0.753], [0.333, 0.009], [nan, nan]]","[[5575.433, 3533.584], [15010.584, 6091.284], [nan, nan]]","[[0.16, 0.228], [0.506, 0.388], [nan, nan]]",3,,0:03:20.390876
2,3,Bromont,2,0.0001,0.1,1.5,2.5,1.0,1.0,0.001,2.0,2.0,0.4,0.04,0.02,0.04,0.02,100,100,"[3.571, 5.711, nan]","[0.932, 0.404, nan]","[[4.194, 3.339], [6.803, 4.352], [nan, nan]]","[[0.74, 0.448], [-6.545, -0.311], [nan, nan]]","[[0.51, 0.742], [2.743, 1.143], [nan, nan]]","[[32.973, 6.817], [73.702, 54.142], [nan, nan]]","[[32.973, 0.753], [0.333, 0.008], [nan, nan]]","[[5575.432, 3533.59], [14672.224, 6005.213], [nan, nan]]","[[0.16, 0.228], [0.501, 0.385], [nan, nan]]",3,,0:19:34.584317
