Date,Depth,Observations,Simulations,Datetime
20200811, 1.0,8.14593023255814,0.7154139643716444,08/11/2020
20200811, 6.0,1.274568181818182,2.2327048387532096,08/11/2020
20200812, 1.0,8.1211875,0.7048334524816565,08/12/2020
20200812, 6.0,0.09176041666666666,2.230905229528811,08/12/2020
20200813, 1.0,8.206583333333333,0.7066768206712849,08/13/2020
20200813, 6.0,0.055260416666666666,2.229434218356852,08/13/2020
20200814, 1.0,8.228947916666668,0.7465366947846965,08/14/2020
20200814, 6.0,0.11109374999999999,2.2303371167930095,08/14/2020
20200815, 1.0,8.230875,0.7928815698040375,08/15/2020
20200815, 6.0,0.236625,2.231496640371555,08/15/2020
20200816, 1.0,8.112343749999999,0.7603421013140322,08/16/2020
20200816, 6.0,0.05713541666666667,2.2318794738506713,08/16/2020
20200817, 1.0,8.053958333333334,0.7543501608714508,08/17/2020
20200817, 6.0,0.054239583333333334,2.2315618140687934,08/17/2020
20200818, 1.0,7.813958333333333,0.7792735156445459,08/18/2020
20200818, 6.0,0.05427083333333333,2.231574736158142,08/18/2020
20200819, 1.0,7.682229166666667,0.7877748225167741,08/19/2020
20200819, 6.0,0.05419791666666667,2.235091546608374,08/19/2020
20200820, 1.0,7.439489583333334,0.8196325492169886,08/20/2020
20200820, 6.0,0.05420833333333333,2.2313083618863105,08/20/2020
20200821, 1.0,7.2757499999999995,0.8375672018454529,08/21/2020
20200821, 6.0,0.054385416666666665,2.225289166613123,08/21/2020
20200822, 1.0,7.034,0.8953453521712746,08/22/2020
20200822, 6.0,0.05441666666666667,2.132722259002242,08/22/2020
20200823, 1.0,7.237020833333333,0.8828477211117057,08/23/2020
20200823, 6.0,0.054364583333333334,2.110489728723583,08/23/2020
20200824, 1.0,7.155072916666668,0.8665343305980155,08/24/2020
20200824, 6.0,0.05444791666666667,2.1302477734614245,08/24/2020
20200825, 1.0,7.536010416666667,0.8680663328352278,08/25/2020
20200825, 6.0,0.05453125,2.157669690300558,08/25/2020
20200826, 1.0,7.06525,0.9340867459794652,08/26/2020
20200826, 6.0,0.05452083333333333,1.6590016606074942,08/26/2020
20200827, 1.0,6.670979166666666,0.9419495775025797,08/27/2020
20200827, 6.0,0.054572916666666665,1.6673995764498302,08/27/2020
20200828, 1.0,6.7982499999999995,0.9483431190963639,08/28/2020
20200828, 6.0,0.054760416666666666,1.675954122777992,08/28/2020
20200829, 1.0,6.660458333333334,0.9544675579722847,08/29/2020
20200829, 6.0,0.07023958333333334,1.6826965914866228,08/29/2020
20200830, 1.0,6.6713125,0.9618100347531204,08/30/2020
20200830, 6.0,0.05472916666666666,1.6912641107834492,08/30/2020
20200831, 1.0,6.585375,0.9711303629206256,08/31/2020
20200831, 6.0,0.054864583333333335,1.69975789717585,08/31/2020
20200901, 1.0,6.7963958333333325,1.0004148229599699,09/01/2020
20200901, 6.0,0.054968750000000004,1.0870825293865662,09/01/2020
20200902, 1.0,7.074729166666667,0.9750155017408787,09/02/2020
20200902, 6.0,0.05491666666666667,1.6932779544324197,09/02/2020
20200903, 1.0,7.168208333333333,0.9487617717184944,09/03/2020
20200903, 6.0,0.05490625,1.951328325053204,09/03/2020
20200904, 1.0,7.671458333333334,0.9817704459349673,09/04/2020
20200904, 6.0,0.055,1.407075193731748,09/04/2020
20200905, 1.0,7.321677083333333,0.984120872958965,09/05/2020
20200905, 6.0,0.05495833333333333,1.7151623533209133,09/05/2020
20200906, 1.0,7.184177083333334,0.9879966511013198,09/06/2020
20200906, 6.0,0.05494791666666667,1.8051189641492777,09/06/2020
20200907, 1.0,6.7130624999999995,0.9598453561496328,09/07/2020
20200907, 6.0,0.05497916666666667,2.034338402807938,09/07/2020
20200908, 1.0,6.5436145833333335,0.9374082017175646,09/08/2020
20200908, 6.0,0.05494791666666667,2.1373913046440842,09/08/2020
20200909, 1.0,7.249927083333334,0.9227529905553845,09/09/2020
20200909, 6.0,0.05508333333333334,2.2056621661949136,09/09/2020
20200910, 1.0,7.252937500000001,1.0028285286014662,09/10/2020
20200910, 6.0,0.05533333333333334,1.471437009271373,09/10/2020
20200911, 1.0,6.984010416666667,1.0066009305277421,09/11/2020
20200911, 6.0,0.055385416666666666,1.7412546462634717,09/11/2020
20200912, 1.0,7.451864583333333,1.0135405286926267,09/12/2020
20200912, 6.0,0.05544791666666667,1.7487255796683634,09/12/2020
20200913, 1.0,7.5376875000000005,1.0208614554975917,09/13/2020
20200913, 6.0,0.05531250000000001,1.7554706181131903,09/13/2020
20200914, 1.0,7.493447916666667,1.0274090100012054,09/14/2020
20200914, 6.0,0.055364583333333335,1.7635473208775774,09/14/2020
20200915, 1.0,6.924833333333333,1.0355141256867142,09/15/2020
20200915, 6.0,0.05544791666666667,1.7720197521413288,09/15/2020
20200916, 1.0,6.734385416666666,1.0429937915596912,09/16/2020
20200916, 6.0,0.05659375,1.7797472402444108,09/16/2020
20200917, 1.0,6.86865625,1.05000403168917,09/17/2020
20200917, 6.0,0.05863541666666667,1.7875594520551799,09/17/2020
20200918, 1.0,6.749125,1.0575882841080304,09/18/2020
20200918, 6.0,0.41130208333333335,1.7947278055727498,09/18/2020
20200919, 1.0,6.05390625,1.06597217889503,09/19/2020
20200919, 6.0,2.2544166666666667,1.8033565482765965,09/19/2020
20200920, 1.0,6.428364583333334,1.0735239672384869,09/20/2020
20200920, 6.0,2.298697916666667,1.8122463690739337,09/20/2020
20200921, 1.0,6.206822916666667,1.079413232713339,09/21/2020
20200921, 6.0,5.26775,1.080619360452605,09/21/2020
