Date,Depth,Observations,Simulations,Datetime
20200811, 1.0,26.98350505050505,24.44129602369159,08/11/2020
20200811, 1.5,26.933196428571428,24.184213586404667,08/11/2020
20200811, 2.0,26.508125,23.95832198584978,08/11/2020
20200811, 2.5,25.332678571428573,23.781530449179627,08/11/2020
20200811, 3.0,24.66948214285714,23.63687797453123,08/11/2020
20200811, 3.5,24.01530357142857,23.517111453070545,08/11/2020
20200811, 4.0,22.911375,23.40676557413788,08/11/2020
20200811, 5.0,17.92342857142857,23.195430660024027,08/11/2020
20200811, 6.0,15.31132,22.768399840059455,08/11/2020
20200812, 1.0,26.265161458333335,24.65089390985347,08/12/2020
20200812, 1.5,26.27151041666667,24.40063872589393,08/12/2020
20200812, 2.0,26.126406250000002,24.140598421799833,08/12/2020
20200812, 2.5,25.266177083333332,23.928222939078086,08/12/2020
20200812, 3.0,23.94167708333333,23.752521265466015,08/12/2020
20200812, 3.5,23.178875,23.60711548104243,08/12/2020
20200812, 4.0,21.89809375,23.476034374783957,08/12/2020
20200812, 5.0,16.518833333333333,23.234660131304423,08/12/2020
20200812, 6.0,13.023270833333333,22.795222329055687,08/12/2020
20200813, 1.0,26.459661458333333,24.202258799065966,08/13/2020
20200813, 1.5,26.350708333333333,24.202258799065966,08/13/2020
20200813, 2.0,26.059114583333336,24.202258799065966,08/13/2020
20200813, 2.5,25.444760416666668,24.171170847543543,08/13/2020
20200813, 3.0,24.221322916666665,23.818272492596176,08/13/2020
20200813, 3.5,23.301656250000004,23.67032865120794,08/13/2020
20200813, 4.0,21.893041666666665,23.532475916094047,08/13/2020
20200813, 5.0,16.50240625,23.275230530629003,08/13/2020
20200813, 6.0,13.07803125,22.828333802256523,08/13/2020
20200814, 1.0,26.404010416666665,23.316145831507765,08/14/2020
20200814, 1.5,26.362322916666667,23.316145831507765,08/14/2020
20200814, 2.0,26.228145833333333,23.316145831507765,08/14/2020
20200814, 2.5,25.735593750000003,23.316145831507765,08/14/2020
20200814, 3.0,24.49701041666667,23.316145831507765,08/14/2020
20200814, 3.5,23.3786875,23.316145831507765,08/14/2020
20200814, 4.0,21.947614583333333,23.316145831507765,08/14/2020
20200814, 5.0,16.64405208333333,23.316145831507765,08/14/2020
20200814, 6.0,13.079307291666666,23.316145831507765,08/14/2020
20200815, 1.0,26.19242708333333,23.231011276084942,08/15/2020
20200815, 1.5,26.116802083333337,23.231011276084942,08/15/2020
20200815, 2.0,26.023645833333333,23.231011276084942,08/15/2020
20200815, 2.5,25.735322916666664,23.231011276084942,08/15/2020
20200815, 3.0,24.801125,23.231011276084942,08/15/2020
20200815, 3.5,23.524375000000003,23.231011276084942,08/15/2020
20200815, 4.0,21.969885416666667,23.231011276084942,08/15/2020
20200815, 5.0,16.75614583333333,23.231011276084942,08/15/2020
20200815, 6.0,13.171734375,22.977870893636226,08/15/2020
20200816, 1.0,26.23841145833333,23.287100990417184,08/16/2020
20200816, 1.5,26.211625,23.287100990417184,08/16/2020
20200816, 2.0,26.08594791666667,23.287100990417184,08/16/2020
20200816, 2.5,25.754333333333335,23.287100990417184,08/16/2020
20200816, 3.0,24.937124999999998,23.287100990417184,08/16/2020
20200816, 3.5,23.668635416666664,23.250389434782242,08/16/2020
20200816, 4.0,22.047427083333332,23.22324632052384,08/16/2020
20200816, 5.0,16.860031250000002,23.177916793907126,08/16/2020
20200816, 6.0,13.289083333333332,22.874108831478683,08/16/2020
20200817, 1.0,25.905145833333336,23.18882284238457,08/17/2020
20200817, 1.5,25.848812499999998,23.18882284238457,08/17/2020
20200817, 2.0,25.81588541666667,23.18882284238457,08/17/2020
20200817, 2.5,25.692229166666667,23.18882284238457,08/17/2020
20200817, 3.0,25.22629166666667,23.18882284238457,08/17/2020
20200817, 3.5,23.732270833333335,23.18882284238457,08/17/2020
20200817, 4.0,22.08503125,23.18882284238457,08/17/2020
20200817, 5.0,16.878885416666666,23.104078577760976,08/17/2020
20200817, 6.0,13.326869791666667,22.766418586560082,08/17/2020
20200818, 1.0,25.379713541666664,23.070398552420745,08/18/2020
20200818, 1.5,25.340427083333335,23.070398552420745,08/18/2020
20200818, 2.0,25.343708333333336,23.070398552420745,08/18/2020
20200818, 2.5,25.29669791666667,23.070398552420745,08/18/2020
20200818, 3.0,25.24919791666667,23.070398552420745,08/18/2020
20200818, 3.5,24.12829166666667,23.067310894227646,08/18/2020
20200818, 4.0,22.083614583333333,23.045649168600242,08/18/2020
20200818, 5.0,17.008385416666666,23.00714131339745,08/18/2020
20200818, 6.0,13.336145833333333,22.668686066983362,08/18/2020
20200819, 1.0,24.655848958333333,22.7875236975407,08/19/2020
20200819, 1.5,24.598781250000002,22.7875236975407,08/19/2020
20200819, 2.0,24.579104166666667,22.7875236975407,08/19/2020
20200819, 2.5,24.53107291666667,22.7875236975407,08/19/2020
20200819, 3.0,24.51515625,22.7875236975407,08/19/2020
20200819, 3.5,24.339697916666665,22.7875236975407,08/19/2020
20200819, 4.0,22.265593749999997,22.7875236975407,08/19/2020
20200819, 5.0,17.038375,22.752419962269546,08/19/2020
20200819, 6.0,13.400786458333334,22.484990057537782,08/19/2020
20200820, 1.0,23.99715625,22.417189804179735,08/20/2020
20200820, 1.5,23.983145833333335,22.417189804179735,08/20/2020
20200820, 2.0,23.96084375,22.417189804179735,08/20/2020
20200820, 2.5,23.897104166666665,22.417189804179735,08/20/2020
20200820, 3.0,23.827427083333333,22.417189804179735,08/20/2020
20200820, 3.5,23.679572916666668,22.417189804179735,08/20/2020
20200820, 4.0,22.803416666666667,22.417189804179735,08/20/2020
