Date,Air pressure,Wind speed,Air temperature,Relative humidity,Precipitation,Global radiation,Cloud cover
2022-05-12,100.85021739130434,,,,,,0.65
2022-05-13,100.62208333333332,,,,,,0.65
2022-05-14,100.04166666666667,,,,,,0.65
2022-05-15,99.47729166666666,,,,,,0.65
2022-05-16,98.70729166666666,,,,,,0.65
2022-05-17,98.66000000000001,,,,,,0.65
2022-05-18,99.71520833333334,,,,,,0.65
2022-05-19,99.2925,,,,,,0.65
2022-05-20,99.54583333333333,,,,,,0.65
2022-05-21,99.64791666666667,,,,,,0.65
2022-05-22,99.96791666666667,,,,,,0.65
2022-05-23,101.01020833333332,,,,,,0.65
2022-05-24,101.218125,,,,,,0.65
2022-05-25,101.26178571428571,,,,,,0.65
2022-05-12,,0.7878019323671499,,,,,0.65
2022-05-13,,1.5093171296296297,,,,,0.65
2022-05-14,,0.902025462962963,,,,,0.65
2022-05-15,,0.30370370370370375,,,,,0.65
2022-05-16,,1.0593750000000002,,,,,0.65
2022-05-17,,4.005497685185185,,,,,0.65
2022-05-18,,2.8829282407407404,,,,,0.65
2022-05-19,,1.069675925925926,,,,,0.65
2022-05-20,,1.6878472222222225,,,,,0.65
2022-05-21,,1.919502314814815,,,,,0.65
2022-05-22,,1.8352430555555554,,,,,0.65
2022-05-23,,1.8462962962962965,,,,,0.65
2022-05-24,,0.7340277777777778,,,,,0.65
2022-05-25,,0.32261904761904764,,,,,0.65
2022-05-12,,,25.058608695652172,,,,0.65
2022-05-13,,,21.95595833333333,,,,0.65
2022-05-14,,,22.145625,,,,0.65
2022-05-15,,,19.707854166666667,,,,0.65
2022-05-16,,,20.126229166666665,,,,0.65
2022-05-17,,,11.868104166666667,,,,0.65
2022-05-18,,,9.936729166666668,,,,0.65
2022-05-19,,,9.41525,,,,0.65
2022-05-20,,,17.8969375,,,,0.65
2022-05-21,,,22.727895833333335,,,,0.65
2022-05-22,,,19.656833333333335,,,,0.65
2022-05-23,,,10.980083333333333,,,,0.65
2022-05-24,,,11.555,,,,0.65
2022-05-25,,,12.108642857142856,,,,0.65
2022-05-12,,,,41.221739130434784,,,0.65
2022-05-13,,,,62.59583333333333,,,0.65
2022-05-14,,,,69.45,,,0.65
2022-05-15,,,,87.76875,,,0.65
2022-05-16,,,,84.81875000000001,,,0.65
2022-05-17,,,,87.77708333333334,,,0.65
2022-05-18,,,,59.73333333333333,,,0.65
2022-05-19,,,,83.175,,,0.65
2022-05-20,,,,70.72500000000001,,,0.65
2022-05-21,,,,76.23333333333333,,,0.65
2022-05-22,,,,86.85208333333333,,,0.65
2022-05-23,,,,65.7625,,,0.65
2022-05-24,,,,66.50416666666666,,,0.65
2022-05-25,,,,71.81071428571428,,,0.65
2019-07-23,99.65944444444443,,,,,,0.65
2019-07-24,100.08541666666667,,,,,,0.65
2019-07-25,100.41958333333334,,,,,,0.65
2019-07-26,100.86125,,,,,,0.65
2019-07-27,100.72166666666668,,,,,,0.65
2019-07-28,100.05020833333333,,,,,,0.65
2019-07-29,99.84395833333333,,,,,,0.65
2019-07-30,99.835625,,,,,,0.65
2019-07-31,100.07561224489795,,,,,,0.65
2019-08-01,100.48625,,,,,,0.65
2019-08-02,100.510625,,,,,,0.65
2019-08-03,99.97833333333334,,,,,,0.65
2019-08-04,100.010625,,,,,,0.65
2019-08-05,100.00833333333333,,,,,,0.65
2019-08-06,99.48625,,,,,,0.65
2019-08-07,99.37354166666667,,,,,,0.65
2019-08-08,98.81979166666667,,,,,,0.65
2019-08-09,98.95833333333333,,,,,,0.65
