5139.412,3902.996,3230.506,2757.917,2418.381,2156.779,1952.569,1795.525,1676.994,1594.381,1538.913,1504.312,1485.785,1478.985
5164.981,3929.208,3254.123,2778.012,2435.133,2170.429,1963.323,1803.669,1682.980,1598.633,1541.984,1506.657,1487.761,1480.816
5190.335,3955.194,3277.613,2798.085,2451.869,2184.077,1974.105,1811.871,1689.047,1602.976,1545.148,1509.086,1489.815,1482.719
5215.470,3980.968,3300.976,2818.126,2468.587,2197.723,1984.913,1820.128,1695.194,1607.411,1548.402,1511.600,1491.946,1484.696
5240.389,4006.546,3324.217,2838.130,2485.288,2211.369,1995.748,1828.440,1701.417,1611.934,1551.747,1514.200,1494.156,1486.748
5265.100,4031.924,3347.337,2858.091,2501.969,2225.014,2006.608,1836.805,1707.716,1616.545,1555.183,1516.885,1496.445,1488.875
5289.606,4057.109,3370.339,2878.007,2518.632,2238.660,2017.493,1845.221,1714.088,1621.241,1558.707,1519.655,1498.813,1491.079
5313.918,4082.098,3393.221,2897.872,2535.274,2252.307,2028.403,1853.686,1720.531,1626.022,1562.319,1522.512,1501.262,1493.359
5338.045,4106.855,3415.953,2917.665,2551.880,2265.946,2039.333,1862.199,1727.043,1630.886,1566.020,1525.453,1503.792,1495.717
5361.943,4131.473,3438.534,2937.377,2568.445,2279.576,2050.283,1870.756,1733.622,1635.831,1569.807,1528.480,1506.403,1498.154
5385.589,4156.026,3461.006,2957.020,2584.976,2293.200,2061.253,1879.359,1740.268,1640.856,1573.680,1531.592,1509.095,1500.670
5409.024,4180.415,3483.346,2976.578,2601.461,2306.810,2072.238,1888.004,1746.978,1645.961,1577.639,1534.789,1511.870,1503.264
5432.222,4204.690,3505.552,2996.041,2617.890,2320.401,2083.237,1896.690,1753.750,1651.143,1581.682,1538.070,1514.726,1505.939
5455.155,4228.938,3527.666,3015.428,2634.275,2333.979,2094.251,1905.416,1760.584,1656.402,1585.810,1541.437,1517.664,1508.694
5477.864,4253.081,3549.696,3034.740,2650.613,2347.539,2105.277,1914.180,1767.479,1661.736,1590.021,1544.889,1520.686,1511.530
5500.373,4277.049,3571.603,3053.958,2666.889,2361.074,2116.310,1922.980,1774.432,1667.145,1594.314,1548.424,1523.789,1514.447
5522.621,4301.007,3593.439,3073.107,2683.119,2374.591,2127.353,1931.816,1781.442,1672.628,1598.690,1552.044,1526.976,1517.445
5544.665,4324.854,3615.211,3092.193,2699.305,2388.089,2138.405,1940.688,1788.510,1678.183,1603.147,1555.748,1530.246,1520.525
5566.526,4348.555,3636.917,3111.219,2715.449,2401.567,2149.465,1949.592,1795.632,1683.811,1607.686,1559.535,1533.598,1523.687
5588.221,4372.096,3658.550,3130.189,2731.553,2415.028,2160.532,1958.530,1802.810,1689.509,1612.304,1563.406,1537.034,1526.930
5609.756,4395.472,3680.106,3149.104,2747.619,2428.471,2171.606,1967.499,1810.040,1695.277,1617.002,1567.360,1540.552,1530.256
5631.140,4418.676,3701.578,3167.965,2763.649,2441.897,2182.687,1976.499,1817.323,1701.114,1621.779,1571.397,1544.153,1533.663
5652.375,4441.716,3722.960,3186.771,2779.643,2455.306,2193.773,1985.529,1824.657,1707.019,1626.635,1575.516,1547.838,1537.153
5673.463,4464.594,3744.249,3205.520,2795.601,2468.698,2204.866,1994.589,1832.042,1712.992,1631.567,1579.717,1551.604,1540.725
5694.404,4487.326,3765.449,3224.215,2811.527,2482.076,2215.964,2003.677,1839.476,1719.031,1636.577,1584.000,1555.454,1544.379
5715.212,4509.884,3786.550,3242.852,2827.419,2495.438,2227.068,2012.794,1846.959,1725.136,1641.664,1588.364,1559.386,1548.116
5735.881,4532.294,3807.554,3261.433,2843.277,2508.786,2238.178,2021.938,1854.491,1731.306,1646.826,1592.809,1563.399,1551.934
5756.416,4554.553,3828.461,3279.956,2859.104,2522.120,2249.293,2031.109,1862.070,1737.541,1652.064,1597.335,1567.495,1555.834
5776.824,4576.655,3849.270,3298.421,2874.898,2535.441,2260.415,2040.308,1869.696,1743.840,1657.376,1601.941,1571.673,1559.816
5797.110,4598.589,3869.969,3316.822,2890.657,2548.747,2271.541,2049.533,1877.368,1750.201,1662.762,1606.626,1575.932,1563.879
5817.263,4620.380,3890.555,3335.155,2906.378,2562.037,2282.672,2058.783,1885.086,1756.625,1668.222,1611.391,1580.272,1568.024
5837.271,4642.070,3911.047,3353.428,2922.066,2575.314,2293.809,2068.060,1892.849,1763.111,1673.754,1616.234,1584.693,1572.250
5857.161,4663.594,3931.429,3371.632,2937.717,2588.576,2304.951,2077.362,1900.656,1769.658,1679.359,1621.155,1589.195,1576.556
5876.911,4685.048,3951.744,3389.790,2953.343,2601.829,2316.101,2086.691,1908.509,1776.266,1685.036,1626.155,1593.777,1580.944
5896.582,4706.314,3971.984,3407.902,2968.947,2615.075,2327.260,2096.047,1916.406,1782.934,1690.784,1631.232,1598.438,1585.412
5916.191,4727.362,3992.130,3425.966,2984.526,2628.313,2338.426,2105.429,1924.347,1789.663,1696.604,1636.386,1603.180,1589.960
5935.739,4748.186,4012.159,3443.971,3000.077,2641.541,2349.600,2114.836,1932.332,1796.451,1702.493,1641.617,1608.000,1594.588
5955.199,4768.847,4032.071,3461.917,3015.600,2654.760,2360.783,2124.270,1940.360,1803.297,1708.452,1646.924,1612.900,1599.295
5974.573,4789.339,4051.855,3479.795,3031.092,2667.970,2371.972,2133.728,1948.430,1810.202,1714.480,1652.306,1617.877,1604.082
5993.844,4809.703,4071.521,3497.608,3046.553,2681.170,2383.171,2143.213,1956.543,1817.165,1720.577,1657.764,1622.933,1608.947
6013.018,4829.930,4091.070,3515.352,3061.982,2694.362,2394.377,2152.724,1964.699,1824.185,1726.742,1663.296,1628.066,1613.890
6032.096,4850.020,4110.501,3533.025,3077.377,2707.543,2405.592,2162.260,1972.897,1831.262,1732.974,1668.902,1633.277,1618.912
6051.079,4869.948,4129.791,3550.612,3092.727,2720.709,2416.813,2171.821,1981.136,1838.396,1739.274,1674.581,1638.564,1624.011
